no,testId,topic,distIMF,distIMM,distISE,distINE,maxSim,predicted,expected
1,1352741,Favorite Class,0.1419035982,0.1257471754,0.09792282745,0.02456620349,0.1419035982,I-MF,I-MF
2,1352741,School Improvement,0.160317297,0.1367086192,0.1020294888,0.02875097614,0.160317297,I-MF,I-MF
3,1352741,Questions,0.05220518372,0.04180090194,0.05828333275,0.01496887616,0.05828333275,I-SE,I-SE
4,1360573,Favorite Class,0.1042602467,0.1428973873,0.1016910037,0.01781081169,0.1428973873,I-MM,I-MM
5,1360573,School Improvement,0.104658472,0.1405320311,0.1030301009,0.01598656565,0.1405320311,I-MM,I-MM
6,1360573,Questions,0.06457199725,0.07385638115,0.06964046615,0.01303790188,0.07385638115,I-MM,I-MM
7,1375101,Favorite Class,0.09326688873,0.1052390724,0.115201343,0.01817029304,0.115201343,I-SE,I-SE
8,1375101,School Improvement,0.06815715726,0.07717314101,0.08938323327,0.01230386778,0.08938323327,I-SE,I-SE
9,1375101,Questions,0.05568901752,0.05990986326,0.07241765051,0.007270688939,0.07241765051,I-SE,I-SE
10,1385069,Favorite Class,0.2246340988,0.2207392325,0.157557248,0.03943386495,0.2246340988,I-MF,I-MF
11,1385069,School Improvement,0.2054326497,0.1720914157,0.1451483538,0.04249438633,0.2054326497,I-MF,I-MF
12,1385069,Questions,0.147326001,0.1474399544,0.1429971557,0.03156722588,0.1474399544,I-MM,I-MF
13,1386776,Favorite Class,0.03465285824,0.04978952842,0.04514185835,0.01026300966,0.04978952842,I-MM,I-MM
14,1386776,School Improvement,0.04721960955,0.0413874207,0.02692764761,0.007341476823,0.04721960955,I-MF,I-MM
15,1386776,Questions,0.02724146579,0.03516627649,0.02462698138,0.003865855386,0.03516627649,I-MM,I-MM
16,1407581,Favorite Class,0.1280350167,0.1734976835,0.1432270241,0.02881799111,0.1734976835,I-MM,I-MM
17,1407581,School Improvement,0.1102340479,0.1409985842,0.1305298844,0.027997702,0.1409985842,I-MM,I-MM
18,1407581,Questions,0.08247738444,0.1069451779,0.08717094388,0.01671495381,0.1069451779,I-MM,I-MM
19,1411262,Favorite Class,0.166241891,0.1824891413,0.1441852365,0.04282709788,0.1824891413,I-MM,I-MF
20,1411262,School Improvement,0.1565627305,0.1544269303,0.1348463638,0.04062926163,0.1565627305,I-MF,I-MF
